OTU	Domain	Phylum	Class	Order	Family	Genus	Species
a35446a6e4fa3ae9152577bcad760563	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum_intestinale
5e977e0bc8188ba3056933192d102ead	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
b57cc3bf543e25af9d209b3428876756	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_bolteae
554e2634b0f7c68db5e4715dec98e17e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum_intestinale
8d13bcd524d232d597238b4716518520	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum	Mucispirillum_schaedleri
e9c0a39f34e231fefdf77459a9ad2cb7	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	g__Lachnospiraceae_Genus	s__Lachnospiraceae_Species
35f2e2446cb768a32fc61897c46f4790	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_genus	Ruminococcaceae_species
5a4577b2e58ec18d2726cd8101df5d47	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_genus	Ruminococcaceae_species
27ea675c6337f38cf7b5d89748d2cae4	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_aldenensis
acb86fd0255aa99af43a8d34457069bc	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_aldenensis
46ba4bb1b7da3b1cdae67e90f9ea0e43	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_species
df215abee626dd9830ccf9920d43ed9e	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	g__Lachnospiraceae_Genus	s__Lachnospiraceae_Species
5e6817e1bb8229864a12354974d62684	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
b2fcfbc9c20e89fae2e6dd67ab43509d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
8aed8dc080cf37f6a80598bcc90c8014	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
c9dba368f94adc61b278f43880105e16	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282_sp003611805
10b59e7a8703a4d760f16d342331b0fc	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	s__Limosilactobacillus_Species
a0215434f6f52a6ea092059514ce789f	Bacteria	Firmicutes_A	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group_family	Clostridia_vadinBB60_group_genus	Clostridia_vadinBB60_group_species
ad7ea630e1a42a7cdda9b29112f3f594	Bacteria	Firmicutes_A	Clostridia	o__Clostridia_Order	f__Clostridia_Family	g__Clostridia_Genus	s__Clostridia_Species
694839efd40e5d0979f4d7bd671afdf2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	s__Lactobacillus_Species
6fe07580e985d37df2bd5b5716ef1947	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_genus	Ruminococcaceae_species
623d599d53fd8a52b8481e8bd85da6c7	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_genus	Lachnospiraceae_species
10bef9e92429ab71d208f0ada9880378	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
2f4d2d33d1422baae39c63192c3803a7	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_genus	Ruminococcaceae_species
97db9bdb081425e78605b55acde78433	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	g__Lachnospiraceae_Genus	s__Lachnospiraceae_Species
a579fe3b9615cef61056895369903c37	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	s__Blautia_A_Species
fa4286518dbc688ddcd9b5d51a176bc3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873_sp011959565
ae064e0d3473eec75f581be981edd2fc	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum_intestinale
b2b54393b944a98b48f8617e66d4ca6b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
83da753c979d57bc434ae5a27bbcdd6d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
dc179d93e8954d4ae5e1fc2a6f019937	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Paludicola	Paludicola_species
397ecafc666192d461e44189d2233dd2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum_intestinale
0418a50a64cfbf595785e5357333d1fa	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_species
c39e0d74a75db83b70345c0693b98e3d	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	g__Lachnospiraceae_Genus	s__Lachnospiraceae_Species
cd56bc8a7d1bbdac3d7616b91e7845f3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_genus	Lachnospiraceae_species
9884175a1ae1bea60a91c8c9933b28f7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	s__Serratia_Species
77491513066cc247b7821afe68b689c9	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	g__Lachnospiraceae_Genus	s__Lachnospiraceae_Species
808cffd4bfbc7ee29e6d0c219affccd9	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_genus	Oscillospiraceae_species
4f88f47ee48f7952a8639175ac672125	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873_sp011959565
04c9235b06c246a9a39f9c413670d958	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_genus	Ruminococcaceae_species
