""	"prev"	"freq"	"CB-T1"	"CB-T2"	"SB1-Sauv0"	"SB10-Mut0"	"SB11-Mut0"	"SB12-Mut0"	"SB13-Sauv50"	"SB14-Sauv50"	"SB15-Sauv50"	"SB16-Sauv50"	"SB17-Sauv50"	"SB18-Sauv50"	"SB19-Mut50"	"SB2-Sauv0"	"SB20-Mut50"	"SB21-Mut50"	"SB22-Mut50"	"SB23-Mut50"	"SB24-Mut50"	"SB3-Sauv0"	"SB4-Sauv0"	"SB5-Sauv0"	"SB6-Sauv0"	"SB7-Mut0"	"SB8-Mut0"	"SB9-Mut0"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"e742683b47a8dec3dba52788adcc32f5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Bacillales_family"	"g__Bacillales_genus"	"s__Bacillales_species"
"74c57ef0a051a9f373262a4332ce1a99"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Aerococcaceae"	"g__Aerococcus"	"s__Aerococcus_viridans"
"b83ac91c6fb2c804aba34403bf4b6772"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Ruminococcaceae"	"g__Sporobacter"	"s__Sporobacter_species"
"5a4cac5fa0bd53ca9330d54eaca81368"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Porphyromonadaceae"	"g__Paludibacter"	"s__Paludibacter_propionicigenes"
"012986262a3c9e9265017561fe85e212"	"1"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas"	"s__Pseudomonas_species"
"38310219685e803e1a61a85fe21216c5"	"1"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Enterobacteriaceae_genus"	"s__Enterobacteriaceae_species"
"7734ba479f75cc52ff4158c729250df1"	"1"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus_species"
"735770d66ecb4fb32b181ae9406b4bef"	NA	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus_species"
"68fbfca7f7c44de2264ff2f69a195cea"	"1"	"1"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Lachnospiraceae_genus"	"s__Lachnospiraceae_species"
"07df3027f24af394efe7113cb8c1f5c5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"k__Bacteria"	"p__Bacteria_phylum"	"c__Bacteria_class"	"o__Bacteria_order"	"f__Bacteria_family"	"g__Bacteria_genus"	"s__Bacteria_species"
